id,name,lat,lon,type,annual_NOx_kt
SAUPUNTA,SAUPUNTA,28.979358,-13.516269,power plant,15
SAULAS,SAULAS,28.503769,-13.845114,power plant,15
SACEUTA,SACEUTA,35.892907,-5.323558,power plant,15
GUINCHOS,GUINCHOS,28.665077,-17.767893,power plant,15
SAUGRANADILLA,SAUGRANADILLA,28.084548,-16.492641,power plant,15
SAMELILLA,SAMELILLA,35.2902337,-2.937574,power plant,15
SAUHAMON,SAUHAMON,39.896655,4.258614,power plant,15
INTASA,INTASA,43.5349,-8.0683,combustion plant,15
ATLANTIC_COPPER,ATLANTIC_COPPER,37.227326,-6.950693,Primary copper production,15
OLCESA_REFINERIA,OLCESA_REFINERIA,40.0128,-3.0319,refinery,15
SOLVAY,SOLVAY,43.376718,-4.043819,combustion plant,15
FINANCIERA_MADERERA,FINANCIERA_MADERERA,42.913554,-8.498791,combustion plant,15
CEMENTOS_MOLINS,CEMENTOS_MOLINS,41.406459,1.999676,Cement,15
CEMEX_ESPANA,CEMEX_ESPANA,40.576842,0.544581,Cement,15
FORESTAL_DEL_ATLANTICO,FORESTAL_DEL_ATLANTICO,43.45918,-8.234449,combustion plant,15
FINANCIERA_MADERERA_SA,FINANCIERA_MADERERA_SA,42.290936,-7.823918,combustion plant,15
CEMENTOS_PORTLAND,CEMENTOS_PORTLAND,41.312939,1.663822,Cement,15
SAPA_EXTRUSION_SPAIN,SAPA_EXTRUSION_SPAIN,41.269799,1.516706,combustion plant,15
VILLARROBLEDO,VILLARROBLEDO,39.2825,-2.5909,combustion plant,15
CELULOSAS_DE_ASTURIAS,CELULOSAS_DE_ASTURIAS,43.524457,-6.726143,combustion plant,15
